Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group
"VirTra, Inc. (NasdaqCM:VTSI)",NasdaqCM:VTSI,Aerospace/Defense,Industrials,3690,United States,United States
"Woodward, Inc. (NasdaqGS:WWD)",NasdaqGS:WWD,Aerospace/Defense,Industrials,3720,United States,United States
"Xeriant, Inc. (OTCPK:XERI)",OTCPK:XERI,Aerospace/Defense,Industrials,3721,United States,United States
"Alaska Air Group, Inc. (NYSE:ALK)",NYSE:ALK,Air Transport,Industrials,4512,United States,United States
Allegiant Travel Company (NasdaqGS:ALGT),NasdaqGS:ALGT,Air Transport,Industrials,4512,United States,United States
American Airlines Group Inc. (NasdaqGS:AAL),NasdaqGS:AAL,Air Transport,Industrials,4512,United States,United States
"Blade Air Mobility, Inc. (NasdaqCM:BLDE)",NasdaqCM:BLDE,Air Transport,Industrials,4522,United States,United States
"Delta Air Lines, Inc. (NYSE:DAL)",NYSE:DAL,Air Transport,Industrials,4512,United States,United States
"flyExclusive, Inc. (NYSEAM:FLYX)",NYSEAM:FLYX,Air Transport,Industrials,4522,United States,United States
"Frontier Group Holdings, Inc. (NasdaqGS:ULCC)",NasdaqGS:ULCC,Air Transport,Industrials,4512,United States,United States
Global Crossing Airlines Group Inc. (NEOE:JET),NEOE:JET,Air Transport,Industrials,4512,United States,United States
"Harbor Diversified, Inc. (OTCPK:HRBR)",OTCPK:HRBR,Air Transport,Industrials,4512,United States,United States
"Hawaiian Holdings, Inc. (NasdaqGS:HA)",NasdaqGS:HA,Air Transport,Industrials,4512,United States,United States
Jet.AI Inc. (NasdaqGM:JTAI),NasdaqGM:JTAI,Air Transport,Industrials,4522,United States,United States
JetBlue Airways Corporation (NasdaqGS:JBLU),NasdaqGS:JBLU,Air Transport,Industrials,4512,United States,United States
"Joby Aviation, Inc. (NYSE:JOBY)",NYSE:JOBY,Air Transport,Industrials,4522,United States,United States
"Mesa Air Group, Inc. (NasdaqGS:MESA)",NasdaqGS:MESA,Air Transport,Industrials,4512,United States,United States
"Saker Aviation Services, Inc. (OTCPK:SKAS)",OTCPK:SKAS,Air Transport,Industrials,4581,United States,United States
Sky Harbour Group Corporation (NYSEAM:SKYH),NYSEAM:SKYH,Air Transport,Industrials,4581,United States,United States
"SkyWest, Inc. (NasdaqGS:SKYW)",NasdaqGS:SKYW,Air Transport,Industrials,4512,United States,United States
Southwest Airlines Co. (NYSE:LUV),NYSE:LUV,Air Transport,Industrials,4512,United States,United States
"Spirit Airlines, Inc. (NYSE:SAVE)",NYSE:SAVE,Air Transport,Industrials,4512,United States,United States
"Star Jets International, Inc. (OTCPK:JETR)",OTCPK:JETR,Air Transport,Industrials,4522,United States,United States
"Sun Country Airlines Holdings, Inc. (NasdaqGS:SNCY)",NasdaqGS:SNCY,Air Transport,Industrials,4512,United States,United States
Surf Air Mobility Inc. (NYSE:SRFM),NYSE:SRFM,Air Transport,Industrials,4512,United States,United States
"United Airlines Holdings, Inc. (NasdaqGS:UAL)",NasdaqGS:UAL,Air Transport,Industrials,4512,United States,United States
"Volato Group, Inc. (NYSEAM:SOAR)",NYSEAM:SOAR,Air Transport,Industrials,4522,United States,United States
Wheels Up Experience Inc. (NYSE:UP),NYSE:UP,Air Transport,Industrials,4500,United States,United States
"Authentic Holdings, Inc. (OTCPK:AHRO)",OTCPK:AHRO,Apparel,Consumer Discretionary,2300,United States,United States
"Bergio International, Inc. (OTCPK:BRGO)",OTCPK:BRGO,Apparel,Consumer Discretionary,3910,United States,United States
"Cartel Blue, Inc. (OTCPK:CRTL)",OTCPK:CRTL,Apparel,Consumer Discretionary,2300,United States,United States
"Carter's, Inc. (NYSE:CRI)",NYSE:CRI,Apparel,Consumer Discretionary,2300,United States,United States
"Charles & Colvard, Ltd. (NasdaqCM:CTHR)",NasdaqCM:CTHR,Apparel,Consumer Discretionary,3290,United States,United States
Code Green Apparel Corp. (OTCPK:CGAC),OTCPK:CGAC,Apparel,Consumer Discretionary,2300,United States,United States
Columbia Sportswear Company (NasdaqGS:COLM),NasdaqGS:COLM,Apparel,Consumer Discretionary,2300,United States,United States
"Crown Crafts, Inc. (NasdaqCM:CRWS)",NasdaqCM:CRWS,Apparel,Consumer Discretionary,2211,United States,United States
"Culp, Inc. (NYSE:CULP)",NYSE:CULP,Apparel,Consumer Discretionary,2211,United States,United States
"Delta Apparel, Inc. (NYSEAM:DLA)",NYSEAM:DLA,Apparel,Consumer Discretionary,2300,United States,United States
"FIGS, Inc. (NYSE:FIGS)",NYSE:FIGS,Apparel,Consumer Discretionary,2300,United States,United States
"Forward Industries, Inc. (NasdaqCM:FORD)",NasdaqCM:FORD,Apparel,Consumer Discretionary,3100,United States,United States
"Fossil Group, Inc. (NasdaqGS:FOSL)",NasdaqGS:FOSL,Apparel,Consumer Discretionary,3873,United States,United States
"G-III Apparel Group, Ltd. (NasdaqGS:GIII)",NasdaqGS:GIII,Apparel,Consumer Discretionary,2300,United States,United States
Hanesbrands Inc. (NYSE:HBI),NYSE:HBI,Apparel,Consumer Discretionary,2300,United States,United States
"Jerash Holdings (US), Inc. (NasdaqCM:JRSH)",NasdaqCM:JRSH,Apparel,Consumer Discretionary,2300,United States,United States
"Kontoor Brands, Inc. (NYSE:KTB)",NYSE:KTB,Apparel,Consumer Discretionary,2300,United States,United States
"Lakeland Industries, Inc. (NasdaqGM:LAKE)",NasdaqGM:LAKE,Apparel,Consumer Discretionary,3842,United States,United States
Levi Strauss & Co. (NYSE:LEVI),NYSE:LEVI,Apparel,Consumer Discretionary,2300,United States,United States
LSEB Creative Corp. (OTCPK:LSEB),OTCPK:LSEB,Apparel,Consumer Discretionary,2300,United States,United States
"MGO Global, Inc. (NasdaqCM:MGOL)",NasdaqCM:MGOL,Apparel,Consumer Discretionary,2300,United States,United States
"Movado Group, Inc. (NYSE:MOV)",NYSE:MOV,Apparel,Consumer Discretionary,3873,United States,United States
Nitches Inc. (OTCPK:NICH),OTCPK:NICH,Apparel,Consumer Discretionary,2330,United States,United States
"Oxford Industries, Inc. (NYSE:OXM)",NYSE:OXM,Apparel,Consumer Discretionary,2300,United States,United States
"PLBY Group, Inc. (NasdaqGM:PLBY)",NasdaqGM:PLBY,Apparel,Consumer Discretionary,2300,United States,United States
PVH Corp. (NYSE:PVH),NYSE:PVH,Apparel,Consumer Discretionary,2300,United States,United States
Ralph Lauren Corporation (NYSE:RL),NYSE:RL,Apparel,Consumer Discretionary,2300,United States,United States
"Samsara Luggage, Inc. (OTCPK:SAML)",OTCPK:SAML,Apparel,Consumer Discretionary,3161,United States,United States
"Superior Group of Companies, Inc. (NasdaqGM:SGC)",NasdaqGM:SGC,Apparel,Consumer Discretionary,2300,United States,United States
"Talon International, Inc. (OTCPK:TALN)",OTCPK:TALN,Apparel,Consumer Discretionary,2300,United States,United States
